distance,physical_error_rate,logical_error_rate,ci_low,ci_high,num_shots
3,0.001,0.0006,0.00042033020364487446,0.0008564037023356611,50000
3,0.002,0.00304,0.0025941350636726757,0.0035622239309530497,50000
3,0.003,0.00676,0.006078679144946844,0.007517108263514992,50000
3,0.004,0.01158,0.010679039460458997,0.01255600734442489,50000
3,0.005,0.01722,0.01611623956461594,0.018397940641890435,50000
3,0.006,0.02442,0.02310316559212007,0.025809908318585227,50000
3,0.008,0.03948,0.03780816013876156,0.04122259976989314,50000
3,0.01,0.05816,0.05614224135042572,0.06024564833523396,50000
3,0.015,0.11624,0.11346002007346491,0.1190789454927327,50000
3,0.02,0.1731,0.16980890562777837,0.17644132327463466,50000
5,0.001,0.00016,8.107715732448164e-05,0.0003157243556216757,50000
5,0.002,0.00102,0.0007759302995114471,0.0013407390725473593,50000
5,0.003,0.0033,0.002834030933731979,0.0038422881113231518,50000
5,0.004,0.00724,0.006533795644602628,0.008021918010805802,50000
5,0.005,0.01472,0.013701051343125707,0.015813512993867154,50000
5,0.006,0.0236,0.022305567875901208,0.024967632029603653,50000
5,0.008,0.04956,0.047691976009636934,0.05149723508489625,50000
5,0.01,0.08352,0.08112678890526871,0.08597720416073605,50000
5,0.015,0.1935,0.19006090913571588,0.1969861852619274,50000
5,0.02,0.30288,0.29886754216646827,0.30692274575413014,50000
